Eje X,Eje Y,Eje Z
19,-14,-85
-102,-7,19
-33,-17,63
104,-32,30
22,-32,-98
-83,11,-22
-63,-7,51
67,-28,78
91,-15,-72
-75,-8,-58
-85,-13,26
44,-23,72
120,-23,-23
-50,-24,-65
-102,0,8
-4,-19,78
113,-36,19
14,-39,-97
-112,0,-1
-35,-25,68
110,-63,4
16,-27,-118
-103,19,-4
-50,-15,57
87,-36,35
83,-11,-90
-88,2,-38
-73,-10,37
31,-36,77
95,-29,-35
-13,-9,-76
-98,2,-5
-44,-20,48
82,-28,47
62,-3,-68
-64,3,-42
-80,-4,30
18,-34,54
83,-23,0
-11,-24,-81
-96,19,-30
-63,-37,41
110,-35,51
82,9,-96
-96,-1,-42
-79,-22,41
54,-24,78
129,17,-36
-53,-5,-69
-98,-12,26
49,-47,68
138,-7,-15
-26,-25,-87
-112,-8,-16
-37,-30,49
110,-26,54
57,-27,-92
-89,-24,-35
-74,-20,29
99,-32,73
94,-24,-75
-87,3,-38
-80,-13,30
86,-66,93
74,9,-75
-89,7,-47
-82,-12,38
63,-46,94
98,26,-66
-59,14,-64
-82,-18,19
44,-52,81
104,19,-61
-59,6,-72
-81,-22,25
53,-41,71
91,7,-27
-21,-26,-85
-101,-1,-4
-14,-57,55
127,-30,31
-1,-6,-74
-97,2,-16
-35,-36,42
97,-24,65
64,0,-90
-94,-4,-41
-70,-30,27
72,-13,109
97,3,-72
-65,2,-60
-86,-12,26
28,-64,68
124,-26,-57
-52,-18,-72
-92,0,7
21,-39,82
144,-10,-31
-42,-26,-83
-97,0,0
12,-54,100
141,15,-19
-20,-25,-88
-92,-42,-5
26,-53,77
133,-13,-10
-46,-13,-74
-107,-6,0
43,-98,65
129,-26,-31
-56,-14,-54
-97,-4,11
28,-41,80
122,7,-60
-53,-22,-81
-104,-27,36
51,-45,114
114,-27,-62
-59,-7,-75
-99,-10,1
23,-49,91
128,-26,-16
-30,-10,-94
-129,-6,-12
-10,-61,71
138,-37,-8
2,-27,-112
-106,-7,-5
-40,-43,50
127,-41,38
32,-13,-136
-123,-8,-3
-11,-53,66
122,-72,41
-3,-23,-109
-110,-10,7
-1,-46,59
91,-11,59
46,12,-98
-98,7,-32
-103,-52,54
112,-25,67
100,-7,-133
-110,-14,-31
-58,-26,53
30,31,119
69,-8,-103
-86,-33,-60
-56,12,72
112,-50,95
102,29,-112
-89,-16,-67
-102,-56,28
87,-28,99
126,-31,-80
-99,-5,-52
-94,-26,29
88,-59,64
121,-31,-69
-61,1,-59
-89,-24,24
26,-41,66
179,-52,-15
-35,-25,-103
-116,-24,13
28,-52,74
126,-31,-14
-59,-32,-78
-103,-17,13
12,-50,84
147,-34,-6
-34,-27,-88
-111,-4,28
19,-33,70
134,-29,-14
-65,-36,-75
-91,8,47
9,-28,32
140,-69,-33
-68,-31,-57
-99,0,29
36,-39,81
128,-27,-59
-70,-43,-68
-109,0,33
34,-31,87
144,-5,-42
-51,-34,-85
-97,-35,-1
1,-49,71
138,-1,7
-20,-30,-89
-112,-22,-4
-11,-45,51
102,-2,51
53,2,-72
-66,-11,-51
-81,-22,43
16,-36,79
122,-29,-2
20,-32,-102
-89,-7,-22
-74,-17,48
41,-34,72
129,-26,-13
32,-21,-102
-95,-22,-34
-90,-19,45
13,-38,72
106,-14,22
66,-37,-97
-73,-9,-26
-85,-27,53
18,-34,55
94,-27,7
69,-15,-64
-56,-20,-56
-81,8,22
-45,-12,68
63,-18,38
97,-14,-46
-30,-31,-72
-93,-7,17
-38,-23,69
77,-32,50
80,-12,-56
-46,-42,-66
-108,18,31
-25,-27,74
89,-21,-2
46,1,-94
-85,2,-29
-68,-17,36
61,-42,73
110,-20,-48
-25,-15,-70
-96,-5,4
-41,-23,50
83,-14,39
92,12,-42
-39,-36,-54
-91,-8,16
-50,-17,53
52,-32,35
87,-14,0
2,-11,-80
-81,16,-18
-76,-14,41
40,-19,68
116,-19,-6
24,-18,-92
-89,-7,-30
-75,-22,35
27,-49,63
115,0,-10
-21,-38,-81
-94,4,-12
-60,-32,47
64,-32,62
108,16,-53
-36,-34,-81
-104,-5,21
-31,-24,77
117,-30,10
33,15,-80
-91,-8,-34
-76,-19,55
68,-41,63
89,19,-25
-37,-18,-85
-99,-16,-11
-11,-56,62
123,-18,16
22,-38,-84
-77,-3,-31
-79,-16,45
57,-18,69
111,-3,-36
-52,3,-63
-94,-25,18
36,-33,62
114,-40,-14
-64,-65,-38
-77,-5,32
29,-43,45
92,-1,-39
-15,-45,-80
-100,-2,22
-40,-16,54
101,-8,53
109,-13,-57
-77,-37,-70
-102,-3,23
11,-48,67
114,-27,-3
22,19,-94
-101,-3,-11
-58,-28,49
85,-53,46
92,24,-65
-84,-6,-46
-86,-10,48
15,-49,83
132,-2,-43
-9,-30,-104
-102,-10,7
-55,-26,73
109,-13,30
42,-16,-98
-79,21,-21
-74,-8,44
74,-45,76
101,-25,-79
-84,-51,-49
-92,14,31
16,-32,74
113,-10,1
20,-23,-86
-106,-12,-14
-45,-34,42
89,-14,48
72,-10,-77
-82,-7,-47
-77,-17,40
81,-24,79
106,-2,-57
-67,-15,-62
-93,-29,20
22,-25,71
103,-8,-6
4,-36,-79
-94,-13,7
-36,-33,52
88,-6,30
106,46,-69
-100,-7,-33
-59,-29,59
51,-20,49
93,28,-79
-73,3,-50
-89,-28,37
41,-30,86
118,39,-35
-57,-24,-69
-96,-29,20
17,-38,71
131,2,-21
-41,-44,-87
-92,-26,0
19,-52,79
146,-25,-17
-38,-29,-75
-88,-12,16
22,-35,87
118,-34,-80
-49,-7,-100
-117,-1,30
0,-39,89
131,8,-38
-56,-22,-67
-93,-5,17
13,-31,87
136,9,-27
-54,-33,-74
-105,-12,15
7,-46,73
139,-37,-1
-23,-82,-102
-126,-7,-6
-17,-45,76
129,-41,26
71,-45,-118
-120,-17,-13
-73,-44,74
107,-17,42
88,-2,-121
-120,-33,-45
-70,-31,84
92,-47,81
101,44,-103
-104,-3,-51
-99,-28,51
81,-49,109
142,-34,-93
-88,-13,-73
-125,-10,23
-6,-22,82
125,-39,9
57,-30,-106
-121,3,-13
-82,-15,47
101,-25,69
76,114,-82
-98,1,-58
-96,-36,41
76,-31,73
157,-25,-64
-65,-25,-73
-104,-15,28
9,-15,73
133,-84,8
-20,-51,-102
-121,1,7
-42,-38,49
129,-13,56
-30,-89,-89
-121,15,-20
-38,-35,46
96,-14,76
70,6,-97
-102,-15,-44
-64,-20,49
59,-32,99
120,19,-102
-81,6,-31
-75,-29,40
63,-21,76
96,12,-78
-81,-2,-28
-62,-22,41
61,-34,68
123,43,-57
-72,-20,-50
-95,-13,34
