timestamp,Eje X,Eje Y,Eje Z
983,0,0,1
984,0,0,0
985,2,0,0
986,1,0,-1
987,0,0,-1
988,1,-1,-3
989,1,0,-1
990,0,1,-1
991,0,0,-3
992,-1,0,-3
993,0,2,-2
994,1,0,4
995,3,-2,4
996,0,0,6
997,0,-3,4
998,0,2,-2
999,-1,-6,-6
1000,2,0,0
1001,0,-1,3
1002,0,0,0
1003,0,0,-1
1004,0,-1,0
1005,1,0,0
1006,0,0,0
1007,0,0,0
1008,0,0,0
1009,0,0,0
1010,0,-1,0
1011,0,0,-1
1012,0,0,0
1013,1,0,-1
1014,2,1,0
1015,0,0,0
1016,2,0,0
1017,0,-1,0
1018,0,-1,0
1019,0,-1,1
1020,0,0,0
1021,0,0,0
1022,1,0,0
1023,1,0,0
1024,0,0,0
1025,1,0,0
1026,0,0,0
1027,0,0,0
1028,0,0,0
1029,0,0,0
1030,0,0,0
1031,0,0,0
1032,1,-1,-1
1033,1,0,0
1034,1,0,0
1035,0,0,0
1036,0,-1,0
1037,0,0,0
1038,1,0,0
1039,0,0,0
1040,0,0,0
1041,0,0,0
1042,0,0,0
1043,0,0,1
1044,0,0,0
1045,0,-1,1
1046,0,0,0
1047,2,0,0
1048,0,0,0
1049,0,0,0
1050,0,0,0
1051,0,0,0
1052,2,0,-1
1053,0,0,0
1054,0,0,0
1055,0,0,0
1056,0,0,0
1057,0,0,1
1058,0,0,0
1059,0,0,0
1060,-2,0,0
1061,0,0,0
1062,0,0,0
1063,0,0,1
1064,0,-1,0
1065,1,0,0
1066,1,0,-2
1067,0,0,0
1068,0,0,0
1069,0,0,0
1070,0,-1,0
1071,1,0,0
1072,0,0,0
1073,2,0,0
1074,0,0,0
1075,1,0,0
1076,0,0,0
1077,0,0,0
1078,1,0,0
1079,1,0,0
1080,0,0,-2
1081,0,0,0
1082,0,0,0
1083,0,0,1
1084,0,0,0
1085,0,0,0
1086,0,0,0
1087,0,0,0
1088,1,0,0
1089,0,0,0
1090,0,0,0
1091,0,0,0
1092,0,0,-1
1093,0,0,0
1094,1,0,0
1095,0,-1,-1
1096,0,0,-1
1097,0,0,0
1098,0,-1,0
1099,0,0,0
1100,0,0,0
1101,0,-1,1
1102,0,-1,0
1103,1,0,0
1104,0,0,1
1105,0,0,-1
1106,0,0,0
1107,1,0,1
1108,1,0,-2
1109,0,-1,0
1110,1,1,2
1111,0,0,-1
1112,0,0,-2
1113,-1,-1,0
1114,0,0,0
1115,0,0,0
1116,0,0,1
1117,0,0,0
1118,0,0,1
1119,0,0,0
1120,0,0,0
1121,0,0,0
1122,0,0,0
1123,0,0,2
1124,1,0,-1
1125,0,-1,0
1126,1,0,1
1127,0,0,-1
1128,0,0,0
1129,1,0,1
1130,1,0,0
1131,0,0,0
1132,0,0,0
1133,0,0,0
1134,0,-1,0
1135,0,0,0
1136,0,0,0
1137,0,0,0
1138,0,0,0
1139,0,0,0
1140,1,0,0
1141,0,0,0
1142,1,0,0
1143,0,0,0
1144,0,0,0
1145,0,0,-1
1146,0,0,0
1147,0,0,0
1148,1,0,0
1149,0,0,0
1150,0,0,0
1151,0,0,0
1152,0,0,0
1153,0,0,0
1154,0,0,0
1155,0,0,0
1156,1,0,0
1157,1,0,0
1158,1,0,0
1159,0,0,0
1160,0,0,-1
1161,0,0,0
1162,0,0,0
1163,0,0,0
1164,0,0,0
1165,0,0,0
1166,0,0,0
1167,0,0,0
1168,0,0,0
1169,0,0,0
1170,0,0,0
1171,0,-1,0
1172,0,0,0
1173,0,0,0
1174,0,0,0
1175,1,0,0
1176,0,0,0
1177,1,0,0
1178,0,0,0
1179,0,0,0
1180,1,0,0
1181,0,0,0
1182,0,0,0
1183,0,0,0
1184,0,0,0
1185,0,0,0
1186,0,0,0
1187,0,0,0
1188,0,0,0
1189,0,0,0
1190,0,0,0
1191,0,0,0
1192,0,0,0
1193,0,-1,0
1194,1,0,0
1195,0,0,0
1196,1,0,0
1197,1,0,0
1198,0,0,0
1199,0,0,0
1200,0,0,0
1201,0,0,1
1202,0,0,0
1203,0,0,0
1204,1,0,0
1205,0,0,0
1206,1,0,0
1207,1,0,-1
1208,0,0,0
1209,0,0,0
1210,1,0,0
1211,0,-1,0
1212,0,0,0
1213,0,0,0
1214,0,0,0
1215,0,0,0
1216,0,0,0
1217,0,0,1
1218,0,0,0
1219,0,0,0
1220,0,-1,0
1221,1,0,0
1222,1,0,-1
1223,1,0,0
1224,3,2,1
1225,0,0,0
1226,2,0,1
1227,0,0,0
1228,0,0,1
1229,0,0,-1
1230,0,0,0
1231,0,1,1
1232,0,0,1
1233,0,0,0
1234,1,0,-1
1235,1,0,0
1236,0,0,0
1237,0,0,0
1238,0,0,0
1239,0,0,-1
1240,-2,-2,-1
1241,0,0,0
1242,0,0,0
1243,0,0,0
1244,0,0,0
1245,0,0,0
1246,0,0,0
1247,1,0,0
1248,0,0,0
1249,1,0,0
1250,0,0,0
1251,1,0,0
1252,0,0,-1
1253,0,0,0
1254,0,0,0
1255,1,0,0
1256,0,0,0
1257,1,0,0
1258,0,0,0
1259,0,0,0
1260,1,0,-1
1261,1,0,0
1262,1,0,0
1263,0,0,1
1264,0,0,-1
1265,1,0,0
1266,0,0,0
1267,0,0,0
1268,0,0,1
1269,0,0,0
1270,0,0,0
1271,0,0,0
1272,1,0,-1
1273,0,0,0
1274,1,0,0
1275,0,0,0
1276,0,0,0
1277,0,0,0
1278,0,0,0
1279,0,0,0
1280,1,0,0
1281,1,0,0
1282,0,0,0
1283,0,0,0
1284,1,0,0
1285,1,0,0
1286,0,0,0
1287,0,0,0
1288,1,0,0
1289,0,0,0
1290,0,0,0
1291,0,0,0
1292,0,0,0
1293,0,0,0
1294,1,-4,0
1295,1,-2,0
1296,1,0,0
1297,0,0,0
1298,0,0,0
1299,0,0,0
1300,0,0,0
1301,0,0,0
1302,0,0,0
1303,0,0,0
1304,0,0,0
1305,0,0,0
1306,0,0,0
1307,0,0,0
1308,0,0,0
1309,0,0,0
1310,0,7,2
1311,1,-1,0
1312,2,0,0
1313,0,0,0
1314,0,-10,0
1315,0,-1,0
1316,0,0,0
1317,0,-1,0
1318,1,0,0
1319,0,0,0
1320,1,0,0
1321,0,0,0
1322,0,0,0
1323,0,0,0
1324,0,0,0
1325,1,0,0
1326,1,0,0
1327,0,0,0
1328,0,-1,0
1329,1,0,0
1330,0,0,0
1331,0,0,0
1332,0,0,0
1333,0,0,0
1334,0,0,0
1335,0,0,0
1336,0,0,0
1337,0,0,0
1338,0,0,0
1339,1,0,0
1340,1,0,0
1341,1,0,0
1342,0,0,0
1343,0,0,0
1344,1,0,0
1345,0,0,0
1346,0,0,0
1347,0,0,0
1348,0,0,0
1349,0,0,1
1350,1,-1,0
1351,1,0,0
1352,0,0,0
1353,1,0,0
1354,1,0,0
1355,0,0,0
1356,0,0,0
1357,0,0,0
1358,0,0,0
1359,0,0,0
1360,1,0,0
1361,0,0,0
1362,0,0,0
1363,0,0,0
1364,0,0,0
1365,0,0,0
1366,1,0,0
1367,0,0,0
1368,0,0,0
1369,0,0,0
1370,0,0,0
1371,0,0,0
1372,0,0,0
1373,1,0,0
1374,0,0,0
1375,1,0,0
1376,0,0,0
1377,0,0,0
1378,0,0,0
1379,0,0,0
1380,1,0,0
1381,0,0,0
1382,0,0,0
1383,0,0,0
1384,0,0,0
1385,1,0,0
1386,0,-1,0
1387,0,0,0
1388,0,-2,0
1389,1,-1,0
1390,0,0,0
1391,0,-3,0
1392,0,0,0
1393,0,0,0
1394,1,0,0
1395,0,0,0
1396,0,0,0
1397,0,0,0
1398,0,0,0
1399,0,0,0
1400,1,0,0
1401,0,-1,0
1402,0,0,0
1403,0,0,0
1404,0,0,0
1405,0,0,1
1406,0,0,0
1407,0,0,-1
1408,0,0,0
1409,1,0,0
1410,0,-1,1
1411,0,0,2
1412,0,0,-1
1413,0,0,0
1414,1,0,-1
1415,0,0,0
1416,0,0,0
1417,0,0,0
1418,0,0,0
1419,0,0,0
1420,1,0,0
1421,1,0,0
1422,2,0,0
1423,0,0,0
1424,0,0,0
1425,0,0,0
1426,1,0,0
1427,1,0,0
1428,0,0,0
1429,0,0,0
1430,0,0,0
1431,0,0,0
1432,0,0,1
1433,0,0,0
1434,0,0,0
1435,0,-1,0
1436,0,0,0
1437,0,0,0
1438,0,0,-1
1439,1,0,-1
1440,0,0,0
1441,1,0,0
1442,1,0,-1
1443,0,0,0
1444,0,0,-1
1445,0,-1,0
1446,0,0,0
1447,0,0,0
1448,0,0,0
1449,0,0,0
1450,0,0,0
1451,0,0,0
1452,1,0,0
1453,0,0,0
1454,1,0,0
1455,1,0,0
1456,0,0,0
1457,0,0,0
1458,1,0,0
1459,0,0,0
1460,0,0,0
1461,1,0,0
1462,0,0,0
1463,0,0,0
1464,1,0,0
1465,0,0,0
1466,0,0,0
1467,0,0,0
1468,1,0,0
1469,1,0,0
1470,0,0,0
1471,1,0,0
1472,0,0,0
1473,0,0,0
1474,1,0,0
1475,1,0,0
1476,0,0,0
1477,0,0,0
1478,0,0,0
1479,0,0,0
1480,0,0,0
1481,0,0,0
1482,0,0,1
1483,0,0,0
1484,1,0,0
1485,0,-1,0
1486,0,0,0
1487,0,0,0
1488,1,0,0
1489,0,0,0
1490,0,0,0
1491,0,0,0
1492,0,0,0
1493,0,0,0
1494,1,0,0
1495,0,0,1
1496,0,0,0
1497,0,0,-1
1498,0,0,-1
1499,0,0,0
1500,0,0,0
1501,0,0,0
1502,1,0,0
1503,0,0,0
1504,0,0,0
1505,0,0,0
1506,0,0,0
1507,1,0,0
1508,0,0,1
1509,0,0,1
1510,1,0,0
1511,0,0,0
1512,0,0,0
1513,0,0,0
1514,1,0,0
1515,0,0,0
1516,0,0,0
1517,0,0,0
1518,1,0,0
1519,0,0,0
1520,0,0,-1
1521,0,0,0
1522,0,0,0
1523,0,0,0
1524,0,0,0
1525,0,0,0
1526,0,0,0
1527,0,0,0
1528,0,0,0
1529,1,0,0
1530,0,0,0
1531,0,0,0
1532,0,0,0
1533,0,0,0
1534,1,0,0
1535,0,0,0
1536,0,0,0
1537,0,0,0
1538,0,0,0
1539,0,0,0
1540,0,0,0
1541,1,0,0
1542,0,0,0
1543,0,0,-1
1544,1,0,-1
1545,0,0,0
1546,1,0,0
1547,0,0,0
1548,0,0,0
1549,0,0,0
1550,0,0,0
1551,0,0,0
1552,0,0,0
1553,1,0,0
1554,0,0,0
1555,0,0,0
1556,0,0,0
1557,1,0,0
1558,0,0,0
1559,0,0,0
1560,0,0,1
1561,0,0,0
1562,0,0,0
1563,0,0,0
1564,0,0,0
1565,0,0,0
1566,0,0,0
1567,1,0,0
1568,0,0,0
1569,1,0,0
1570,0,0,0
1571,0,0,0
1572,0,0,0
1573,0,0,0
1574,0,0,0
1575,0,0,0
1576,0,0,0
1577,0,0,0
1578,1,0,0
1579,0,0,0
1580,0,0,0
1581,0,0,0
1582,0,0,0
1583,0,0,0
1584,1,0,0
1585,0,0,0
1586,0,0,0
1587,0,0,0
1588,0,-1,0
1589,0,0,0
1590,0,0,0
1591,0,0,0
1592,0,0,0
1593,1,0,0
1594,0,0,0
1595,0,0,0
1596,0,0,0
1597,0,0,0
1598,1,0,0
1599,0,0,0
1600,0,0,0
1601,1,0,0
1602,0,0,0
1603,0,0,0
1604,0,0,0
1605,1,0,0
1606,0,0,0
1607,0,0,0
1608,0,0,0
1609,0,0,0
1610,0,0,0
1611,0,0,0
1612,0,0,0
1613,0,0,0
1614,0,0,0
1615,0,0,0
1616,0,0,0
1617,1,0,0
1618,1,0,0
1619,1,0,0
1620,0,0,0
1621,0,0,0
1622,0,0,0
1623,0,0,0
1624,1,0,0
1625,0,0,0
1626,0,0,0
1627,0,0,0
1628,0,0,0
1629,0,0,0
1630,0,0,0
1631,0,0,0
1632,0,0,0
1633,0,0,0
1634,0,0,0
1635,1,0,0
1636,0,0,0
1637,0,0,0
1638,0,0,0
1639,0,0,-1
1640,0,0,0
1641,0,0,0
1642,0,0,0
1643,0,0,0
1644,0,0,0
1645,0,0,0
1646,0,0,0
1647,1,0,0
1648,1,0,0
1649,0,0,0
1650,0,0,0
1651,0,0,0
1652,0,0,0
1653,0,0,0
1654,0,0,0
